H_bin    , Gene , Feature       , Region    , Orientation, Step, Pearson_r            , P_value                , CI_low                , CI_high               , N_windows, Sliding_file                                                      , P_Bonferroni           , Reject_Bonferroni, P_Holm                 , Reject_Holm, P_FDR_BH               , Reject_FDR_BH
0.50-0.56, ASH1L, CTCF          , full      , genomic    ,   10, 0.06115355388880926  , 1.1216774192883917e-19 , 0.04797512055241168   , 0.07431070071819218   ,     21990, sliding_ASH1L_CTCF_win10k_step10_full_genomic.csv                 , 3.768836128808996e-17  , True             , 9.534258063951329e-18  , True       , 1.4955698923845222e-19 , True
0.50-0.56, ASH1L, CTCF          , full      , reversed   ,   10, -0.24153078887081303 , 2.260113115314887e-289 , -0.2539373392635694   , -0.22904477236073165  ,     21990, sliding_ASH1L_CTCF_win10k_step10_full_reversed.csv                , 7.593980067458021e-287 , True             , 6.034502017890748e-287 , True       , 1.0848542953511458e-288, True
0.50-0.56, ASH1L, CTCF          , winTrim500, genomic    ,   10, 0.056703695320813784 , 3.9323691693527755e-17 , 0.043519100711723394  , 0.06986854195422293   ,     21990, sliding_ASH1L_CTCF_win10k_step10_winTrim500_genomic.csv           , 1.3212760409025326e-14 , True             , 3.1968917278638316e-15 , True       , 5.161234534775518e-17  , True
0.50-0.56, ASH1L, CTCF          , winTrim500, reversed   ,   10, -0.22718372321737257 , 2.2724949124655185e-255, -0.23968123459405058  , -0.21461093236363468  ,     21990, sliding_ASH1L_CTCF_win10k_step10_winTrim500_reversed.csv          , 7.635582905884143e-253 , True             , 5.590337484665175e-253 , True       , 8.390750446026531e-255 , True
0.50-0.56, ASH1L, EMAR_AND_OTHER, full      , genomic    ,   10, 0.06143450257080345  , 7.635892109536189e-20  , 0.04825647584165729   , 0.07459114573863174   ,     21990, sliding_ASH1L_EMAR_AND_OTHER_win10k_step10_full_genomic.csv       , 2.5656597488041596e-17 , True             , 6.566867214201123e-18  , True       , 1.0221751987267567e-19 , True
0.50-0.56, ASH1L, EMAR_AND_OTHER, full      , reversed   ,   10, -0.24303284091635238 , 4.566209837538338e-293 , -0.25542955658206695  , -0.23055622673630594  ,     21990, sliding_ASH1L_EMAR_AND_OTHER_win10k_step10_full_reversed.csv      , 1.5342465054128815e-290, True             , 1.228310446297813e-290 , True       , 2.2562448609012965e-292, True
0.50-0.56, ASH1L, EMAR_AND_OTHER, winTrim500, genomic    ,   10, 0.056710486881547686 , 3.898648448614429e-17  , 0.04352590127636414   , 0.06987532216103882   ,     21990, sliding_ASH1L_EMAR_AND_OTHER_win10k_step10_winTrim500_genomic.csv , 1.309945878734448e-14  , True             , 3.1968917278638316e-15 , True       , 5.137042661703718e-17  , True
0.50-0.56, ASH1L, EMAR_AND_OTHER, winTrim500, reversed   ,   10, -0.22851607336937563 , 1.9783306286336125e-258, -0.2410053646412048   , -0.2159511096017066   ,     21990, sliding_ASH1L_EMAR_AND_OTHER_win10k_step10_winTrim500_reversed.csv, 6.647190912208938e-256 , True             , 4.886476652725023e-256 , True       , 7.385767680232153e-258 , True
0.50-0.56, ASH1L, EMAR_ONLY     , full      , genomic    ,   10, 0.23883250435446574  , 8.444076552255036e-283 , 0.22632974872481865   , 0.25125657348841374   ,     21990, sliding_ASH1L_EMAR_ONLY_win10k_step10_full_genomic.csv            , 2.8372097215576924e-280, True             , 2.2039039801385646e-280, True       , 3.7331706862601216e-282, True
0.50-0.56, ASH1L, EMAR_ONLY     , full      , reversed   ,   10, -0.1801453507674545  , 9.048944583405433e-160 , -0.19290325508115558  , -0.1673265478266315   ,     21990, sliding_ASH1L_EMAR_ONLY_win10k_step10_full_reversed.csv           , 3.0404453800242256e-157, True             , 2.0179146420994116e-157, True       , 2.6670573508984433e-159, True
0.50-0.56, ASH1L, EMAR_ONLY     , winTrim500, genomic    ,   10, 0.23810356915436162  , 4.874074407055652e-281 , 0.2255963248202752    , 0.2505323382327194    ,     21990, sliding_ASH1L_EMAR_ONLY_win10k_step10_winTrim500_genomic.csv      , 1.637689000770699e-278 , True             , 1.2672593458344695e-278, True       , 2.126868832169739e-280 , True
