Intron,Start,End,Length
Intron 1-2,38381798,38348216,33583
Intron 2-3,38347496,38338608,8889
Intron 3-4,38338535,38337468,1068
Intron 4-5,38337304,38331586,5719
Intron 5-6,38331430,38329894,1537
Intron 6-7,38329377,38326857,2521
Intron 7-8,38326729,38321173,5557
Intron 8-9,38321071,38318941,2131
Intron 9-10,38318894,38316043,2852
Intron 10-11,38315911,38315545,367
Intron 11-12,38315415,38314774,642
Intron 12-13,38314646,38305446,9201
Intron 13-14,38305247,38304758,490
Intron 14-15,38304586,38299591,4996
Intron 15-16,38299443,38295953,3491
Intron 16-17,38295795,38290678,5118
Intron 17-18,38290474,38289506,969
Intron 18-19,38289392,38288757,636
Intron 19-20,38288486,38281584,6903
Intron 20-21,38281466,38279682,1785
Intron 21-22,38279539,38278413,1127
Intron 22-23,38278305,38276501,1805
Intron 23-24,38276295,38275883,413
