Intron,Start,End,Length
Intron 1-2,47163853,47126664,37190
Intron 2-3,47126647,47124549,2099
Intron 3-4,47120181,47116755,3427
Intron 4-5,47116622,47114005,2618
Intron 5-6,47113875,47106121,7755
Intron 6-7,47105996,47103424,2573
Intron 7-8,47103345,47101556,1790
Intron 8-9,47101457,47098082,3376
Intron 9-10,47097954,47088248,9707
Intron 10-11,47088112,47086315,1798
Intron 11-12,47086194,47084383,1812
Intron 12-13,47083719,47067119,16601
Intron 13-14,47067069,47062347,4723
Intron 14-15,47062162,47057491,4672
Intron 15-16,47056820,47046622,10199
Intron 16-17,47046486,47042701,3786
Intron 17-18,47042560,47037778,4783
Intron 18-19,47037665,47019841,17825
Intron 19-20,47019759,47017740,2020
Intron 20-21,47017637,47017255,383
