gene_symbol, gene_start, gene_end , gene_length_bp, enhancer_bp, enhancer_pct, promoter_bp, promoter_pct, ctcf_bp, ctcf_pct, emar_only_bp, emar_only_pct, emar_and_other_bp, emar_and_other_pct, other_genic_bp, other_genic_pct, regulatory_all_bp, regulatory_all_pct, exon_mane_bp, exon_mane_pct, intron_mane_bp, intron_mane_pct, exon_union_bp, exon_union_pct, intron_union_bp, intron_union_pct
ASH1L      ,  155335268, 155563162,         227895,        7844,       3.4419,        1064,       0.4669,      22,   0.0097,         9135,        4.0084,               398,             0.1746,          11091,          4.8667,              9533,             4.1831,        12037,        5.2818,         215499,         94.5607,         13783,         6.048 ,          216602,          95.0446
NSD1       ,  177131787, 177300213,         168427,        2362,       1.4024,        2633,       1.5633,      44,   0.0261,         5521,        3.278 ,              7198,             4.2737,           5055,          3.0013,             12719,             7.5516,        13042,        7.7434,         153399,         91.0774,         21896,        13.0003,          159503,          94.7016
NSD2       ,    1870559,   1982207,         111649,        6646,       5.9526,         944,       0.8455,      44,   0.0394,            0,        0.0   ,              8590,             7.6938,            125,          0.112 ,              8590,             7.6938,         7560,        6.7712,         103240,         92.4684,         21262,        19.0436,          104102,          93.2404
NSD3       ,   38269704,  38382279,         112576,        7550,       6.7066,        1143,       1.0153,       0,   0.0   ,         2133,        1.8947,             13581,            12.0639,              0,          0.0   ,             15714,            13.9586,        10768,        9.5651,         101800,         90.4278,         15279,        13.5722,          102385,          90.9474
SETD2      ,   47016428,  47164113,         147686,        6302,       4.2672,         636,       0.4306,      66,   0.0447,         2717,        1.8397,              6938,             4.6978,           6706,          4.5407,              9677,             6.5524,         8541,        5.7832,         139137,         94.2114,         14308,         9.6881,          145359,          98.4244
