feature_type;ID;feature_start;feature_end;info;emar_overlap_with
emar_only;ENSR00001489243;47016804;47018362;;
emar_and_other;ENSR00001489244;47019279;47019482;;enhancer
emar_and_other;ENSR00001489245;47022178;47022325;;enhancer
emar_and_other;ENSR00001489246;47022534;47023096;;enhancer
emar_and_other;ENSR00001489247;47025024;47025320;;enhancer
emar_and_other;ENSR00001489248;47035660;47036071;;enhancer
emar_and_other;ENSR00001489249;47037897;47038309;;enhancer
emar_only;ENSR00001489250;47057266;47057697;;
emar_and_other;ENSR00001489251;47082511;47082895;;enhancer
emar_only;ENSR00001489252;47083884;47084054;;
emar_and_other;ENSR00001489253;47097064;47097271;;enhancer
emar_and_other;ENSR00001489254;47108615;47108846;;enhancer
emar_only;ENSR00001489255;47113828;47114382;;
emar_and_other;ENSR00001489257;47141108;47141488;;enhancer
emar_and_other;ENSR00001489259;47152793;47152932;;enhancer
emar_and_other;ENSR00001489261;47162081;47165635;finisce oltre?;"ctcf;enhancer;promoter"
enhancer;ENSR3_83DBR9;47019279;47019482;;
enhancer;ENSR3_83DBSX;47022178;47022325;;
enhancer;ENSR3_BCBZ3;47022534;47023096;;
enhancer;ENSR3_9NMXS;47025024;47025320;;
enhancer;ENSR3_9NN3W;47035660;47036071;;
enhancer;ENSR3_9NN4K;47037897;47038309;;
enhancer;ENSR3_9NNKG;47082511;47082895;;
enhancer;ENSR3_83DDGB;47097064;47097271;;
enhancer;ENSR3_83DDNZ;47108615;47108846;;
enhancer;ENSR3_9NP7F;47141108;47141488;;
enhancer;ENSR3_83DFMJ;47152793;47152932;;
enhancer;ENSR3_C6NCN;47162081;47163871;;
enhancer;ENSR3_C6NCS;47164508;47165635;finisce oltre;
ctcf;ENSR3_5F42ZM;47087483;47087504;;
ctcf;ENSR3_5F4J5T;47164207;47164228;;
ctcf;ENSR3_5F4J6L;47164372;47164393;;
promoter;ENSR3_BCCPJ;47163872;47164507;;
MRPL57P3 (mitochondrial ribosomal protein L57 pseudogene 3) (processed pseudogene);ENSG00000275940;47028855;47029030;strand+;
LncRNA (novel transcript, antisense to SETD2);ENSG00000296084;47118074;47124603;strand+;
